dimension,vertices,max_bit_length,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
10,1000,350,0.2,833,28,1755486489228251313204108168763099138377653259375291246302299841500285470256858160617256473860841728450,1755486489228251313204108168763099138377653259375291246302299841500285470256858160617256473860841728450
10,1000,350,0.2,812,46,11737614773160293692392010995623662966043059249745703296465000777938301438220416981295650501655325431326,11737614773160293692392010995623662966043059249745703296465000777938301438220416981295650501655325431326
10,1000,350,0.2,836,49,11737614773160241246257328113043902672237087396004666697318966703055752994652279309824022393360049864225,11737614773160241246257328113043902672237087396004666697318966703055752994652279309824022393360049864225
10,1000,350,0.2,848,25,73292642417731440051170339181486055961608933900807838716644623379978055666257457641879503438406570197,73292642417731440051170339181486055961608933900807838716644623379978055666257457641879503438406570197
10,1000,350,0.2,850,52,8696913216156890648643739075360573175417374389033946799810157420279993845281269169165760493050351712478,8696913216156890648643739075360573175417374389033946799810157420279993845281269169165760493050351712478
10,1000,350,0.2,846,48,11737614773160241464274318666749613709124080469025775189769194238314543309541067793891258429578978565115,11737614773160241464274318666749613709124080469025775189769194238314543309541067793891258429578978565115
10,1000,350,0.2,863,22,55045793157973501102631560494859429345682418742476432215770925673694566404685232491616219331422979,55045793157973501102631560494859429345682418742476432215770925673694566404685232491616219331422979
10,1000,350,0.2,847,21,70223055007948127029369051795252035866201459037383358174870954322669927013623769625248943800,70223055007948127029369051795252035866201459037383358174870954322669927013623769625248943800
10,1000,350,0.2,862,90,1547110184749758449205298427254866010321704859262948748789950268869208577644595353944130838825079012489894,1547110184749758449205298427254866010321704859262948748789950268869208577644595353944130838825079012489894
10,1000,350,0.2,808,23,77561191741465032607690769841258455472603437209068510555053741367401423805262589957074293970369583,77561191741465032607690769841258455472603437209068510555053741367401423805262589957074293970369583
10,1000,300,0.2,1108,81,388350870520196822421100698832777978668300849752806174903878919225355272765574630267125468,388350870520196822421100698832777978668300849752806174903878919225355272765574630267125468
10,1000,300,0.2,1134,21,51699681794772408320666862726890920722043023808532112466156259314850537782139383279438,51699681794772408320666862726890920722043023808532112466156259314850537782139383279438
10,1000,300,0.2,1147,25,693134745689451222048311825995955820900217403381907537505173334917681897541409967086585,693134745689451222048311825995955820900217403381907537505173334917681897541409967086585
10,1000,300,0.2,1102,162,1346647557363867045666549804785211095920838426469161399632247051952428066492914037973942151,1346647557363867045666549804785211095920838426469161399632247051952428066492914037973942151
10,1000,300,0.2,1118,81,388350670535546438797731287758633159808196123959183800460578291736239748998508861708652304,388350670535546438797731287758633159808196123959183800460578291736239748998508861708652304
10,1000,300,0.2,1124,26,94891154458040741911112270972964770319431674458627098359768507892726096604783121243643,94891154458040741911112270972964770319431674458627098359768507892726096604783121243643
10,1000,300,0.2,1166,22,3828748999405359107740755902138069894419672135943518642580643880353343821108256325171179,3828748999405359107740755902138069894419672135943518642580643880353343821108256325171179
10,1000,300,0.2,1104,151,763311035631886945441611421308685642368849617048857118248431846811589712391575341493901763,763311035631886945441611421308685642368849617048857118248431846811589712391575341493901763
10,1000,300,0.2,1111,155,1346647349643544042897903853933393791661915853952138517877306457840458308092447304278748464,1346647349643544042897903853933393791661915853952138517877306457840458308092447304278748464
10,1000,300,0.2,1111,157,1346655432956090619641762131236856913150824167444532271508346193759169957247901404674984251,1346655432956090619641762131236856913150824167444532271508346193759169957247901404674984251
10,1000,250,0.2,574,23,117545976717645491531239488008757985416917902574356684060746605280366872,117545976717645491531239488008757985416917902574356684060746605280366872
10,1000,250,0.2,576,41,93532914585528651531799225362603065547559591951101080407884701289494935484,93532914585528651531799225362603065547559591951101080407884701289494935484
10,1000,250,0.2,602,116,675658776534505249032767949006442190844203099773174778247083534486064350538,675658776534505249032767949006442190844364549731214526771629854599799029124
10,1000,250,0.2,588,70,113077022812216430509313430538260076486638469386081846858560675895481437263,113077022812216430509313430538260076486638469386081846858560675895481437263
10,1000,250,0.2,550,25,105414039536170529318453848173949927900529766005485367134636719814140265,105414039536170529318453848173949927900529766005485367134636719814140265
10,1000,250,0.2,583,31,74007561475202696119958199462345283706479407090850744715852944635905797960,74007561475202696119958199462345283706479407090850744715852944635905797960
10,1000,250,0.2,566,18,105414038824373746732004419688319529863595049080129199599964180454106640,105414038824373746732004419688319529863595049080129199599964180454106640
10,1000,250,0.2,566,68,156124750464473348200153333864011662023651431383804095250728008893665980533,156124750464473348200153333864011662023651431383804095250728008893665980533
10,1000,250,0.2,593,19,485810236926882141521832830458016319963863885650803668699315432001497194,485810236926882141521832830458016319963863885650803668699315432001497194
10,1000,250,0.2,582,74,93671556192925369595278236690648595348559170939713512014381296561953585675,93671556192925369595278236690648595348559170939713512014381296561953585675
10,1000,200,0.2,932,139,386689885383944941605527805751503155627239925866863274566257,386689885383944941605527805751503155627239925866863274566257
