dimension,vertices,ave_degree,epsilon,fptas_mosp
128, 600, 4, 0.4, 2262
128, 600, 4, 0.4, 2165
128, 600, 4, 0.4, 2252
128, 600, 4, 0.4, 2884
128, 600, 4, 0.4, 1821
128, 600, 4, 0.4, 1376
128, 600, 4, 0.4, 1462
128, 600, 4, 0.4, 3083
128, 600, 4, 0.4, 1833
128, 600, 4, 0.4, 1550
128, 600, 4, 0.4, 2541
128, 600, 4, 0.4, 2213
128, 600, 4, 0.4, 2326
128, 600, 4, 0.4, 4613
128, 600, 4, 0.4, 2061
128, 600, 4, 0.4, 3586
128, 600, 4, 0.4, 1938
128, 600, 4, 0.4, 1690
128, 600, 4, 0.4, 2118
128, 600, 4, 0.4, 1848
128, 600, 4, 0.4, 2021
128, 600, 4, 0.4, 1734
128, 600, 4, 0.4, 1577
128, 600, 4, 0.4, 2153
128, 600, 4, 0.4, 2797
128, 600, 4, 0.4, 2107
128, 600, 4, 0.4, 2078
128, 600, 4, 0.4, 1490
128, 600, 4, 0.4, 2099
128, 600, 4, 0.4, 2502
128, 600, 4, 0.4, 1885
128, 600, 4, 0.4, 1747
128, 600, 4, 0.4, 1600
128, 600, 4, 0.4, 3306
128, 600, 4, 0.4, 2831
128, 600, 4, 0.4, 2521
128, 600, 4, 0.4, 3167
128, 600, 4, 0.4, 2392
128, 600, 4, 0.4, 1815
128, 600, 4, 0.4, 2449
128, 600, 4, 0.4, 1388
128, 600, 4, 0.4, 1989
128, 600, 4, 0.4, 1742
128, 600, 4, 0.4, 1735
128, 600, 4, 0.4, 549
128, 600, 4, 0.4, 1075
128, 600, 4, 0.4, 1966
128, 600, 4, 0.4, 2041
128, 600, 4, 0.4, 1610
128, 600, 4, 0.4, 2707
128, 600, 4, 0.4, 1908
128, 600, 4, 0.4, 3392
128, 600, 4, 0.4, 1985
128, 600, 4, 0.4, 1654
128, 600, 4, 0.4, 2239
128, 600, 4, 0.4, 1490
128, 600, 4, 0.4, 929
128, 600, 4, 0.4, 3141
128, 600, 4, 0.4, 2211
128, 600, 4, 0.4, 2124
128, 600, 4, 0.4, 1857
128, 600, 4, 0.4, 4498
128, 600, 4, 0.4, 1744
128, 600, 4, 0.4, 2244
128, 600, 4, 0.4, 2774
128, 600, 4, 0.4, 2471
128, 600, 4, 0.4, 220
128, 600, 4, 0.4, 1961
128, 600, 4, 0.4, 1989
128, 600, 4, 0.4, 1161
128, 600, 4, 0.4, 1904
128, 600, 4, 0.4, 2117
128, 600, 4, 0.4, 1715
128, 600, 4, 0.4, 2538
128, 600, 4, 0.4, 2512
128, 600, 4, 0.4, 2819
128, 600, 4, 0.4, 2813
128, 600, 4, 0.4, 2051
128, 600, 4, 0.4, 1566
128, 600, 4, 0.4, 1852
128, 600, 4, 0.4, 2078
128, 600, 4, 0.4, 2586
128, 600, 4, 0.4, 2419
128, 600, 4, 0.4, 1609
128, 600, 4, 0.4, 1849
128, 600, 4, 0.4, 1996
128, 600, 4, 0.4, 2386
128, 600, 4, 0.4, 1640
128, 600, 4, 0.4, 1840
128, 600, 4, 0.4, 1802
128, 600, 4, 0.4, 1523
128, 600, 4, 0.4, 1579
128, 600, 4, 0.4, 1775
128, 600, 4, 0.4, 1877
128, 600, 4, 0.4, 1819
128, 600, 4, 0.4, 2072
128, 600, 4, 0.4, 2024
128, 600, 4, 0.4, 3014
128, 600, 4, 0.4, 2075
128, 600, 4, 0.4, 2285
126, 600, 4, 0.4, 1817
126, 600, 4, 0.4, 1933
126, 600, 4, 0.4, 2386
126, 600, 4, 0.4, 2263
126, 600, 4, 0.4, 1614
126, 600, 4, 0.4, 2033
126, 600, 4, 0.4, 2097
126, 600, 4, 0.4, 2235
126, 600, 4, 0.4, 2254
126, 600, 4, 0.4, 1784
126, 600, 4, 0.4, 1479
126, 600, 4, 0.4, 1882
126, 600, 4, 0.4, 3012
126, 600, 4, 0.4, 2433
126, 600, 4, 0.4, 2438
126, 600, 4, 0.4, 2647
126, 600, 4, 0.4, 2526
126, 600, 4, 0.4, 87
126, 600, 4, 0.4, 1928
126, 600, 4, 0.4, 2317
126, 600, 4, 0.4, 1860
126, 600, 4, 0.4, 2757
126, 600, 4, 0.4, 2273
126, 600, 4, 0.4, 1720
126, 600, 4, 0.4, 1515
126, 600, 4, 0.4, 3907
126, 600, 4, 0.4, 2211
126, 600, 4, 0.4, 1843
126, 600, 4, 0.4, 2125
126, 600, 4, 0.4, 1835
126, 600, 4, 0.4, 2353
126, 600, 4, 0.4, 1665
126, 600, 4, 0.4, 3156
126, 600, 4, 0.4, 2272
126, 600, 4, 0.4, 2257
126, 600, 4, 0.4, 1570
126, 600, 4, 0.4, 1640
126, 600, 4, 0.4, 1580
126, 600, 4, 0.4, 1962
126, 600, 4, 0.4, 142
126, 600, 4, 0.4, 1422
126, 600, 4, 0.4, 2131
126, 600, 4, 0.4, 2187
126, 600, 4, 0.4, 87
126, 600, 4, 0.4, 101
126, 600, 4, 0.4, 2705
126, 600, 4, 0.4, 1451
126, 600, 4, 0.4, 2500
126, 600, 4, 0.4, 2503
126, 600, 4, 0.4, 92
126, 600, 4, 0.4, 1945
126, 600, 4, 0.4, 2708
126, 600, 4, 0.4, 2010
126, 600, 4, 0.4, 2048
126, 600, 4, 0.4, 1919
126, 600, 4, 0.4, 2786
126, 600, 4, 0.4, 2096
126, 600, 4, 0.4, 1826
126, 600, 4, 0.4, 1646
126, 600, 4, 0.4, 1417
126, 600, 4, 0.4, 1581
126, 600, 4, 0.4, 2516
126, 600, 4, 0.4, 1905
126, 600, 4, 0.4, 2024
126, 600, 4, 0.4, 1359
126, 600, 4, 0.4, 2296
126, 600, 4, 0.4, 2441
126, 600, 4, 0.4, 1896
126, 600, 4, 0.4, 1533
126, 600, 4, 0.4, 1799
126, 600, 4, 0.4, 1718
126, 600, 4, 0.4, 2322
126, 600, 4, 0.4, 354
126, 600, 4, 0.4, 2001
126, 600, 4, 0.4, 2367
126, 600, 4, 0.4, 3076
126, 600, 4, 0.4, 2154
126, 600, 4, 0.4, 598
126, 600, 4, 0.4, 2289
126, 600, 4, 0.4, 2458
126, 600, 4, 0.4, 1347
126, 600, 4, 0.4, 2070
126, 600, 4, 0.4, 2548
126, 600, 4, 0.4, 2455
126, 600, 4, 0.4, 3371
126, 600, 4, 0.4, 1918
126, 600, 4, 0.4, 2068
