dimension,vertices,ave_degree,epsilon,fptas_mosp
50, 1600, 4, 200, 141
50, 1600, 4, 200, 214
50, 1600, 4, 200, 497
50, 1600, 4, 200, 175
50, 1600, 4, 200, 261
50, 1600, 4, 200, 166
50, 1600, 4, 200, 313
50, 1600, 4, 200, 111
50, 1600, 4, 200, 193
50, 1600, 4, 200, 143
50, 1600, 4, 200, 134
50, 1600, 4, 200, 135
50, 1600, 4, 200, 564
50, 1600, 4, 200, 112
50, 1600, 4, 200, 218
50, 1600, 4, 200, 139
50, 1600, 4, 200, 217
50, 1600, 4, 200, 267
50, 1600, 4, 200, 433
50, 1600, 4, 200, 114
50, 1600, 4, 200, 353
50, 1600, 4, 200, 160
50, 1600, 4, 200, 362
50, 1600, 4, 200, 168
50, 1600, 4, 200, 204
50, 1600, 4, 200, 363
50, 1600, 4, 200, 450
50, 1600, 4, 200, 235
50, 1600, 4, 200, 141
50, 1600, 4, 200, 116
50, 1600, 4, 200, 168
50, 1600, 4, 200, 160
50, 1600, 4, 200, 298
50, 1600, 4, 200, 146
50, 1600, 4, 200, 115
50, 1600, 4, 200, 210
50, 1600, 4, 200, 563
50, 1600, 4, 200, 212
50, 1600, 4, 200, 259
50, 1600, 4, 200, 160
50, 1600, 4, 200, 130
50, 1600, 4, 200, 206
50, 1600, 4, 200, 536
50, 1600, 4, 200, 243
50, 1600, 4, 200, 136
50, 1600, 4, 200, 419
50, 1600, 4, 200, 320
50, 1600, 4, 200, 479
50, 1600, 4, 200, 118
50, 1600, 4, 200, 117
50, 1600, 4, 200, 756
50, 1600, 4, 200, 848
50, 1600, 4, 200, 299
50, 1600, 4, 200, 226
50, 1600, 4, 200, 349
50, 1600, 4, 200, 130
50, 1600, 4, 200, 161
50, 1600, 4, 200, 200
50, 1600, 4, 200, 130
50, 1600, 4, 200, 349
50, 1600, 4, 200, 129
50, 1600, 4, 200, 523
50, 1600, 4, 200, 171
50, 1600, 4, 200, 518
50, 1600, 4, 200, 352
50, 1600, 4, 200, 211
50, 1600, 4, 200, 115
50, 1600, 4, 200, 120
50, 1600, 4, 200, 246
50, 1600, 4, 200, 131
50, 1600, 4, 200, 293
50, 1600, 4, 200, 143
50, 1600, 4, 200, 134
50, 1600, 4, 200, 248
50, 1600, 4, 200, 236
50, 1600, 4, 200, 205
50, 1600, 4, 200, 354
50, 1600, 4, 200, 119
50, 1600, 4, 200, 358
50, 1600, 4, 200, 119
50, 1600, 4, 200, 141
50, 1600, 4, 200, 127
50, 1600, 4, 200, 424
50, 1600, 4, 200, 201
50, 1600, 4, 200, 295
50, 1600, 4, 200, 141
50, 1600, 4, 200, 376
50, 1600, 4, 200, 456
50, 1600, 4, 200, 221
50, 1600, 4, 200, 174
50, 1600, 4, 200, 598
50, 1600, 4, 200, 243
50, 1600, 4, 200, 128
50, 1600, 4, 200, 127
50, 1600, 4, 200, 154
50, 1600, 4, 200, 322
50, 1600, 4, 200, 337
50, 1600, 4, 200, 142
50, 1600, 4, 200, 556
50, 1600, 4, 200, 145
50, 1600, 4, 160, 233
50, 1600, 4, 160, 149
50, 1600, 4, 160, 126
50, 1600, 4, 160, 466
50, 1600, 4, 160, 168
50, 1600, 4, 160, 506
50, 1600, 4, 160, 266
50, 1600, 4, 160, 140
50, 1600, 4, 160, 142
50, 1600, 4, 160, 316
50, 1600, 4, 160, 352
50, 1600, 4, 160, 119
50, 1600, 4, 160, 537
50, 1600, 4, 160, 172
50, 1600, 4, 160, 124
50, 1600, 4, 160, 963
50, 1600, 4, 160, 405
50, 1600, 4, 160, 111
50, 1600, 4, 160, 226
50, 1600, 4, 160, 208
50, 1600, 4, 160, 483
50, 1600, 4, 160, 284
50, 1600, 4, 160, 106
50, 1600, 4, 160, 122
50, 1600, 4, 160, 137
50, 1600, 4, 160, 680
50, 1600, 4, 160, 121
50, 1600, 4, 160, 349
50, 1600, 4, 160, 114
50, 1600, 4, 160, 156
50, 1600, 4, 160, 257
50, 1600, 4, 160, 153
50, 1600, 4, 160, 144
50, 1600, 4, 160, 324
50, 1600, 4, 160, 220
50, 1600, 4, 160, 148
50, 1600, 4, 160, 234
50, 1600, 4, 160, 150
50, 1600, 4, 160, 137
50, 1600, 4, 160, 159
50, 1600, 4, 160, 313
50, 1600, 4, 160, 263
50, 1600, 4, 160, 209
50, 1600, 4, 160, 390
50, 1600, 4, 160, 394
50, 1600, 4, 160, 142
50, 1600, 4, 160, 124
50, 1600, 4, 160, 120
50, 1600, 4, 160, 332
50, 1600, 4, 160, 187
50, 1600, 4, 160, 175
50, 1600, 4, 160, 111
50, 1600, 4, 160, 146
50, 1600, 4, 160, 114
50, 1600, 4, 160, 114
50, 1600, 4, 160, 295
50, 1600, 4, 160, 148
50, 1600, 4, 160, 127
50, 1600, 4, 160, 240
50, 1600, 4, 160, 184
50, 1600, 4, 160, 289
50, 1600, 4, 160, 148
50, 1600, 4, 160, 525
50, 1600, 4, 160, 264
50, 1600, 4, 160, 148
50, 1600, 4, 160, 189
50, 1600, 4, 160, 197
50, 1600, 4, 160, 112
50, 1600, 4, 160, 222
50, 1600, 4, 160, 159
50, 1600, 4, 160, 468
50, 1600, 4, 160, 186
50, 1600, 4, 160, 690
50, 1600, 4, 160, 434
50, 1600, 4, 160, 140
50, 1600, 4, 160, 118
50, 1600, 4, 160, 320
50, 1600, 4, 160, 127
50, 1600, 4, 160, 330
50, 1600, 4, 160, 111
50, 1600, 4, 160, 423
50, 1600, 4, 160, 122
50, 1600, 4, 160, 148
50, 1600, 4, 160, 300
50, 1600, 4, 160, 118
50, 1600, 4, 160, 359
50, 1600, 4, 160, 794
50, 1600, 4, 160, 285
50, 1600, 4, 160, 536
50, 1600, 4, 160, 186
