dimension, vertices, ave_degree, maxBitLength, epsilon, mosp, fptas_mosp, diff_cost
6, 200, 4, 600, 0.2, 32, 4, 0
6, 200, 4, 600, 0.2, 46, 6, 0
6, 200, 4, 600, 0.2, 37, 5, 21332668654595822814655718372113137643337838315471454527445534099585598920222743037900800740340592612282642143509633575846495885160875009847177857880224071896573058131140
6, 200, 4, 600, 0.2, 33, 3, 0
6, 200, 4, 600, 0.2, 23, 2, 0
6, 200, 4, 600, 0.2, 32, 4, 0
6, 200, 4, 600, 0.2, 31, 5, 0
6, 200, 4, 600, 0.2, 24, 4, 0
6, 200, 4, 600, 0.2, 24, 3, 0
6, 200, 4, 600, 0.2, 23, 2, 0
6, 200, 4, 600, 0.2, 26, 5, 0
