dimension,vertices,ave_degree,epsilon,fptas_mosp
50, 2000, 4, 0.4, 194
50, 2000, 4, 0.4, 668
50, 2000, 4, 0.4, 832
50, 2000, 4, 0.4, 220
50, 2000, 4, 0.4, 270
50, 2000, 4, 0.4, 1254
50, 2000, 4, 0.4, 415
50, 2000, 4, 0.4, 2032
50, 2000, 4, 0.4, 168
50, 2000, 4, 0.4, 386
50, 2000, 4, 0.4, 206
50, 2000, 4, 0.4, 160
50, 2000, 4, 0.4, 189
50, 2000, 4, 0.4, 209
50, 2000, 4, 0.4, 202
50, 2000, 4, 0.4, 316
50, 2000, 4, 0.4, 164
50, 2000, 4, 0.4, 1558
50, 2000, 4, 0.4, 327
50, 2000, 4, 0.4, 262
50, 2000, 4, 0.4, 230
50, 2000, 4, 0.4, 159
50, 2000, 4, 0.4, 303
50, 2000, 4, 0.4, 2607
50, 2000, 4, 0.4, 2400
50, 2000, 4, 0.4, 149
50, 2000, 4, 0.4, 641
50, 2000, 4, 0.4, 1529
50, 2000, 4, 0.4, 141
50, 2000, 4, 0.4, 986
50, 2000, 4, 0.4, 169
50, 2000, 4, 0.4, 257
50, 2000, 4, 0.4, 200
50, 2000, 4, 0.4, 147
50, 2000, 4, 0.4, 179
50, 2000, 4, 0.4, 166
50, 2000, 4, 0.4, 209
50, 2000, 4, 0.4, 364
50, 2000, 4, 0.4, 474
50, 2000, 4, 0.4, 974
50, 2000, 4, 0.4, 201
50, 2000, 4, 0.4, 166
50, 2000, 4, 0.4, 152
50, 2000, 4, 0.4, 183
50, 2000, 4, 0.4, 634
50, 2000, 4, 0.4, 256
50, 2000, 4, 0.4, 206
50, 2000, 4, 0.4, 152
50, 2000, 4, 0.4, 3096
50, 2000, 4, 0.4, 149
50, 2000, 4, 0.4, 236
50, 2000, 4, 0.4, 155
50, 2000, 4, 0.4, 1658
50, 2000, 4, 0.4, 1558
50, 2000, 4, 0.4, 298
50, 2000, 4, 0.4, 215
50, 2000, 4, 0.4, 180
50, 2000, 4, 0.4, 1369
50, 2000, 4, 0.4, 186
50, 2000, 4, 0.4, 198
50, 2000, 4, 0.4, 142
50, 2000, 4, 0.4, 226
50, 2000, 4, 0.4, 153
50, 2000, 4, 0.4, 765
50, 2000, 4, 0.4, 154
50, 2000, 4, 0.4, 166
50, 2000, 4, 0.4, 1934
50, 2000, 4, 0.4, 2099
50, 2000, 4, 0.4, 314
50, 2000, 4, 0.4, 564
50, 2000, 4, 0.4, 1268
50, 2000, 4, 0.4, 176
50, 2000, 4, 0.4, 501
50, 2000, 4, 0.4, 232
50, 2000, 4, 0.4, 962
50, 2000, 4, 0.4, 169
50, 2000, 4, 0.4, 275
50, 2000, 4, 0.4, 669
50, 2000, 4, 0.4, 343
50, 2000, 4, 0.4, 306
50, 2000, 4, 0.4, 395
50, 2000, 4, 0.4, 191
50, 2000, 4, 0.4, 167
50, 2000, 4, 0.4, 237
50, 2000, 4, 0.4, 140
50, 2000, 4, 0.4, 2173
50, 2000, 4, 0.4, 3401
50, 2000, 4, 0.4, 2114
50, 2000, 4, 0.4, 1055
50, 2000, 4, 0.4, 289
50, 2000, 4, 0.4, 201
50, 2000, 4, 0.4, 165
50, 2000, 4, 0.4, 375
50, 2000, 4, 0.4, 430
50, 2000, 4, 0.4, 1993
50, 2000, 4, 0.4, 175
50, 2000, 4, 0.4, 179
50, 2000, 4, 0.4, 1056
50, 2000, 4, 0.4, 699
50, 2000, 4, 0.4, 1107
50, 1800, 4, 0.4, 132
50, 1800, 4, 0.4, 170
50, 1800, 4, 0.4, 264
50, 1800, 4, 0.4, 184
50, 1800, 4, 0.4, 141
50, 1800, 4, 0.4, 1396
50, 1800, 4, 0.4, 144
50, 1800, 4, 0.4, 133
50, 1800, 4, 0.4, 156
50, 1800, 4, 0.4, 1561
50, 1800, 4, 0.4, 133
50, 1800, 4, 0.4, 1078
50, 1800, 4, 0.4, 1744
50, 1800, 4, 0.4, 3159
50, 1800, 4, 0.4, 2409
50, 1800, 4, 0.4, 478
50, 1800, 4, 0.4, 528
50, 1800, 4, 0.4, 135
50, 1800, 4, 0.4, 135
50, 1800, 4, 0.4, 585
50, 1800, 4, 0.4, 121
50, 1800, 4, 0.4, 135
50, 1800, 4, 0.4, 271
50, 1800, 4, 0.4, 127
50, 1800, 4, 0.4, 475
50, 1800, 4, 0.4, 153
50, 1800, 4, 0.4, 152
50, 1800, 4, 0.4, 1152
50, 1800, 4, 0.4, 136
50, 1800, 4, 0.4, 1550
50, 1800, 4, 0.4, 323
50, 1800, 4, 0.4, 155
50, 1800, 4, 0.4, 1720
50, 1800, 4, 0.4, 308
50, 1800, 4, 0.4, 207
50, 1800, 4, 0.4, 960
50, 1800, 4, 0.4, 1425
50, 1800, 4, 0.4, 2667
50, 1800, 4, 0.4, 176
50, 1800, 4, 0.4, 129
50, 1800, 4, 0.4, 276
50, 1800, 4, 0.4, 136
50, 1800, 4, 0.4, 2418
50, 1800, 4, 0.4, 954
50, 1800, 4, 0.4, 140
50, 1800, 4, 0.4, 514
50, 1800, 4, 0.4, 278
50, 1800, 4, 0.4, 625
50, 1800, 4, 0.4, 764
50, 1800, 4, 0.4, 142
50, 1800, 4, 0.4, 151
50, 1800, 4, 0.4, 202
50, 1800, 4, 0.4, 445
50, 1800, 4, 0.4, 1545
50, 1800, 4, 0.4, 1261
50, 1800, 4, 0.4, 361
50, 1800, 4, 0.4, 164
50, 1800, 4, 0.4, 534
50, 1800, 4, 0.4, 118
50, 1800, 4, 0.4, 813
50, 1800, 4, 0.4, 157
50, 1800, 4, 0.4, 230
50, 1800, 4, 0.4, 2805
50, 1800, 4, 0.4, 374
50, 1800, 4, 0.4, 193
50, 1800, 4, 0.4, 241
50, 1800, 4, 0.4, 897
50, 1800, 4, 0.4, 281
50, 1800, 4, 0.4, 132
50, 1800, 4, 0.4, 134
50, 1800, 4, 0.4, 2917
50, 1800, 4, 0.4, 203
50, 1800, 4, 0.4, 164
50, 1800, 4, 0.4, 1114
50, 1800, 4, 0.4, 191
50, 1800, 4, 0.4, 761
50, 1800, 4, 0.4, 178
50, 1800, 4, 0.4, 208
50, 1800, 4, 0.4, 324
50, 1800, 4, 0.4, 155
50, 1800, 4, 0.4, 173
50, 1800, 4, 0.4, 688
50, 1800, 4, 0.4, 136
50, 1800, 4, 0.4, 2223
50, 1800, 4, 0.4, 2001
50, 1800, 4, 0.4, 273
50, 1800, 4, 0.4, 1138
50, 1800, 4, 0.4, 169
50, 1800, 4, 0.4, 160
50, 1800, 4, 0.4, 130
50, 1800, 4, 0.4, 2849
50, 1800, 4, 0.4, 3322
50, 1800, 4, 0.4, 145
50, 1800, 4, 0.4, 519
50, 1800, 4, 0.4, 2521
50, 1800, 4, 0.4, 1272
50, 1800, 4, 0.4, 207
50, 1800, 4, 0.4, 804
50, 1800, 4, 0.4, 294
50, 1800, 4, 0.4, 1138
50, 1600, 4, 0.4, 362
50, 1600, 4, 0.4, 261
50, 1600, 4, 0.4, 121
50, 1600, 4, 0.4, 168
50, 1600, 4, 0.4, 268
50, 1600, 4, 0.4, 186
50, 1600, 4, 0.4, 173
50, 1600, 4, 0.4, 138
50, 1600, 4, 0.4, 173
50, 1600, 4, 0.4, 175
50, 1600, 4, 0.4, 116
50, 1600, 4, 0.4, 1354
50, 1600, 4, 0.4, 146
50, 1600, 4, 0.4, 121
50, 1600, 4, 0.4, 1654
50, 1600, 4, 0.4, 156
50, 1600, 4, 0.4, 1623
50, 1600, 4, 0.4, 254
50, 1600, 4, 0.4, 1249
50, 1600, 4, 0.4, 154
50, 1600, 4, 0.4, 620
50, 1600, 4, 0.4, 431
50, 1600, 4, 0.4, 122
50, 1600, 4, 0.4, 384
50, 1600, 4, 0.4, 194
50, 1600, 4, 0.4, 119
50, 1600, 4, 0.4, 124
50, 1600, 4, 0.4, 118
50, 1600, 4, 0.4, 148
50, 1600, 4, 0.4, 125
50, 1600, 4, 0.4, 409
50, 1600, 4, 0.4, 1579
50, 1600, 4, 0.4, 567
50, 1600, 4, 0.4, 2148
50, 1600, 4, 0.4, 133
50, 1600, 4, 0.4, 695
50, 1600, 4, 0.4, 215
50, 1600, 4, 0.4, 226
50, 1600, 4, 0.4, 337
50, 1600, 4, 0.4, 118
50, 1600, 4, 0.4, 231
50, 1600, 4, 0.4, 265
50, 1600, 4, 0.4, 141
50, 1600, 4, 0.4, 302
50, 1600, 4, 0.4, 124
50, 1600, 4, 0.4, 130
50, 1600, 4, 0.4, 127
50, 1600, 4, 0.4, 121
50, 1600, 4, 0.4, 1723
50, 1600, 4, 0.4, 236
50, 1600, 4, 0.4, 239
50, 1600, 4, 0.4, 175
50, 1600, 4, 0.4, 688
50, 1600, 4, 0.4, 598
50, 1600, 4, 0.4, 120
50, 1600, 4, 0.4, 761
50, 1600, 4, 0.4, 122
50, 1600, 4, 0.4, 370
50, 1600, 4, 0.4, 1009
50, 1600, 4, 0.4, 124
50, 1600, 4, 0.4, 393
50, 1600, 4, 0.4, 248
50, 1600, 4, 0.4, 163
50, 1600, 4, 0.4, 122
50, 1600, 4, 0.4, 377
50, 1600, 4, 0.4, 219
50, 1600, 4, 0.4, 208
50, 1600, 4, 0.4, 213
50, 1600, 4, 0.4, 114
50, 1600, 4, 0.4, 144
50, 1600, 4, 0.4, 428
50, 1600, 4, 0.4, 1207
50, 1600, 4, 0.4, 140
50, 1600, 4, 0.4, 1546
50, 1600, 4, 0.4, 191
50, 1600, 4, 0.4, 2656
50, 1600, 4, 0.4, 1589
50, 1600, 4, 0.4, 151
50, 1600, 4, 0.4, 1425
50, 1600, 4, 0.4, 180
50, 1600, 4, 0.4, 129
50, 1600, 4, 0.4, 147
50, 1600, 4, 0.4, 107
50, 1600, 4, 0.4, 208
50, 1600, 4, 0.4, 135
50, 1600, 4, 0.4, 2602
50, 1600, 4, 0.4, 834
50, 1600, 4, 0.4, 1497
50, 1600, 4, 0.4, 475
50, 1600, 4, 0.4, 110
50, 1600, 4, 0.4, 173
50, 1600, 4, 0.4, 189
50, 1600, 4, 0.4, 237
50, 1600, 4, 0.4, 230
50, 1600, 4, 0.4, 306
50, 1600, 4, 0.4, 294
50, 1600, 4, 0.4, 175
50, 1600, 4, 0.4, 124
50, 1600, 4, 0.4, 831
50, 1600, 4, 0.4, 221
50, 1400, 4, 0.4, 1277
50, 1400, 4, 0.4, 101
50, 1400, 4, 0.4, 98
50, 1400, 4, 0.4, 115
50, 1400, 4, 0.4, 601
50, 1400, 4, 0.4, 114
50, 1400, 4, 0.4, 99
50, 1400, 4, 0.4, 315
50, 1400, 4, 0.4, 609
50, 1400, 4, 0.4, 176
50, 1400, 4, 0.4, 402
50, 1400, 4, 0.4, 158
50, 1400, 4, 0.4, 170
50, 1400, 4, 0.4, 196
50, 1400, 4, 0.4, 121
50, 1400, 4, 0.4, 189
50, 1400, 4, 0.4, 464
50, 1400, 4, 0.4, 623
50, 1400, 4, 0.4, 934
50, 1400, 4, 0.4, 515
50, 1400, 4, 0.4, 119
50, 1400, 4, 0.4, 2233
50, 1400, 4, 0.4, 106
50, 1400, 4, 0.4, 842
50, 1400, 4, 0.4, 191
50, 1400, 4, 0.4, 107
50, 1400, 4, 0.4, 486
50, 1400, 4, 0.4, 144
50, 1400, 4, 0.4, 382
50, 1400, 4, 0.4, 119
50, 1400, 4, 0.4, 104
50, 1400, 4, 0.4, 109
50, 1400, 4, 0.4, 1711
50, 1400, 4, 0.4, 104
50, 1400, 4, 0.4, 407
50, 1400, 4, 0.4, 170
50, 1400, 4, 0.4, 1032
50, 1400, 4, 0.4, 107
50, 1400, 4, 0.4, 129
50, 1400, 4, 0.4, 133
50, 1400, 4, 0.4, 1372
50, 1400, 4, 0.4, 126
50, 1400, 4, 0.4, 826
50, 1400, 4, 0.4, 107
50, 1400, 4, 0.4, 203
50, 1400, 4, 0.4, 99
50, 1400, 4, 0.4, 113
50, 1400, 4, 0.4, 145
50, 1400, 4, 0.4, 134
50, 1400, 4, 0.4, 254
50, 1400, 4, 0.4, 608
50, 1400, 4, 0.4, 133
50, 1400, 4, 0.4, 1558
50, 1400, 4, 0.4, 119
50, 1400, 4, 0.4, 866
50, 1400, 4, 0.4, 141
50, 1400, 4, 0.4, 1188
50, 1400, 4, 0.4, 114
50, 1400, 4, 0.4, 172
50, 1400, 4, 0.4, 125
50, 1400, 4, 0.4, 124
50, 1400, 4, 0.4, 570
50, 1400, 4, 0.4, 143
50, 1400, 4, 0.4, 107
50, 1400, 4, 0.4, 227
50, 1400, 4, 0.4, 274
50, 1400, 4, 0.4, 104
50, 1400, 4, 0.4, 101
50, 1400, 4, 0.4, 98
50, 1400, 4, 0.4, 144
50, 1400, 4, 0.4, 151
50, 1400, 4, 0.4, 773
50, 1400, 4, 0.4, 97
50, 1400, 4, 0.4, 429
50, 1400, 4, 0.4, 154
50, 1400, 4, 0.4, 153
50, 1400, 4, 0.4, 1670
50, 1400, 4, 0.4, 171
